source_path	release_path	source_size_bytes	release_size_bytes	duration_seconds	bdf_signal_count	eeg_channel_count	eeg_channel_names	eeg_sampling_frequency_hz	eeg_units	annotation_signal_count	annotation_sampling_frequency_hz	header_bytes	source_sha256	release_sha256	data_region_sha256_source	data_region_sha256_release	data_region_identical	header_deidentified	source_filename_subject_mismatch	qc_notes
SCNUED/data/sub01/sub01_session1.bdf	sub01/sub01_session1.bdf	3961270	3961270	345.0	69	5	Fp2,O1,O2,C3,C4	250	uV	64	40	17920	400caa5cd91fde28c585155b69115e2af33f7e62ca12c98ce27cdd31d0b744f5	f95fbad42fd4723df6922ffe92e3971974d8b30b1149aeba05ab0a3fb45afd62	63165508b4fd0ea2b6436d92c2e81520deeff2d0f5f595f83f8ff1cce135c79f	63165508b4fd0ea2b6436d92c2e81520deeff2d0f5f595f83f8ff1cce135c79f	true	true	false	OK
SCNUED/data/sub01/sub01_session2.bdf	sub01/sub01_session2.bdf	3504070	3504070	305.0	69	5	Fp2,O1,O2,C3,C4	250	uV	64	40	17920	8000de6545e4c8874660f73c11954e1fa8448876330726f1e9b84be9eea9d98d	75061353e27c9af2781c263d6732a577a074bc84dae0f09284bcf466e466e75e	24194c600070a0c1645b6c5867b3f99452fadc0840d010fe52f28ba7bcc195e0	24194c600070a0c1645b6c5867b3f99452fadc0840d010fe52f28ba7bcc195e0	true	true	false	OK
SCNUED/data/sub02/sub02_session1.bdf	sub02/sub02_session1.bdf	3926980	3926980	342.0	69	5	Fp2,O1,O2,C3,C4	250	uV	64	40	17920	20890fb992e3c05a7a86dc8195edf9c965d2b5f87557ab35e1a000f767dbdd69	69765b6a91a419e2cffb85992c5a90f8356eead005cd7a59f638a439cf6152b2	2aec7ba82bab374cb110bb33fda59ba51733a48bf7bc290d2377647c42be15dd	2aec7ba82bab374cb110bb33fda59ba51733a48bf7bc290d2377647c42be15dd	true	true	false	OK
SCNUED/data/sub02/sub02_session2.bdf	sub02/sub02_session2.bdf	5664340	5664340	494.0	69	5	Fp2,O1,O2,C3,C4	250	uV	64	40	17920	9028007182a504ffbffb0e39e7dfc28e14725d97c7f04b82816a354a2075c74e	5bb302297a87e0babf66320e276282ab3e5c4001c807832758f57cfcc90de76b	749dd2d6d896596cf8f0cd40a6e01f09ef17ef9c66ed6c35890b5ea626656da1	749dd2d6d896596cf8f0cd40a6e01f09ef17ef9c66ed6c35890b5ea626656da1	true	true	false	OK
SCNUED/data/sub03/sub03_session1.bdf	sub03/sub03_session1.bdf	4041280	4041280	352.0	69	5	Fp2,O1,O2,C3,C4	250	uV	64	40	17920	5270127d63e76c44a62c167db881b50821026627bea3cf8e5c972fb1dcd2281d	d01ee556c146909b0be6f40c85515f42ebca20391897268d5a23c153713a4a26	9dd9ba18eae3ff89ccffb506032cf016843dc2ee88531efe3220c4ba6e8421bd	9dd9ba18eae3ff89ccffb506032cf016843dc2ee88531efe3220c4ba6e8421bd	true	true	false	OK
SCNUED/data/sub03/sub03_session2.bdf	sub03/sub03_session2.bdf	5927230	5927230	517.0	69	5	Fp2,O1,O2,C3,C4	250	uV	64	40	17920	d047f7fc497001a839c1d6e323e9b05c42be2cd149d2ad117da5fc1049a919a0	88df8eb7fc59f201e53468af7ca15513930fe05ae955cf2e0837771f17a59bd8	ece9f01a2f0ff3c59e95527e43e7d6b23ec10a2759975e9d88d62cd1c285d63d	ece9f01a2f0ff3c59e95527e43e7d6b23ec10a2759975e9d88d62cd1c285d63d	true	true	false	OK
SCNUED/data/sub04/sub04_session1.bdf	sub04/sub04_session1.bdf	3424060	3424060	298.0	69	5	Fp2,O1,O2,C3,C4	250	uV	64	40	17920	967cd34f18b0145536c8fc8c56c470ad31a84c9c1a8c300f461840eb83e727eb	28f7f1816647958982087e7b71384213be93bddf71dcc93ac28424fdc285885c	9b4edfb5ebb9d3b067fe4e995673a1dbb6b763af167941d364eab152c637e1de	9b4edfb5ebb9d3b067fe4e995673a1dbb6b763af167941d364eab152c637e1de	true	true	false	OK
SCNUED/data/sub04/sub04_session2.bdf	sub04/sub04_session2.bdf	3401200	3401200	296.0	69	5	Fp2,O1,O2,C3,C4	250	uV	64	40	17920	ca01a4222325825eb408aa738384c98a012c891ef16ce91ced1e1dc2d411922b	60b4da80cfbae0ab2d4e0b194d3632789a82e4eff94ff646b2e101da26eaa85a	083f1e8e469aa20508b7e978ec5335e6b25bad42965bcec3a48ab624e70ab645	083f1e8e469aa20508b7e978ec5335e6b25bad42965bcec3a48ab624e70ab645	true	true	false	OK
SCNUED/data/sub05/sub05_session1.bdf	sub05/sub05_session1.bdf	3424060	3424060	298.0	69	5	Fp2,O1,O2,C3,C4	250	uV	64	40	17920	6ec2265bb46e26819dd1d186ece2c00568d93c683302fe6e002c3dcf0e159b97	7852b3f48dcc58a868503e5dc4db9ca78653510689c966ff29e7a07a3111678a	c47bfed02109a095bac4f62b1f55a013576d124d20a20a6184c322d06aca7cc4	c47bfed02109a095bac4f62b1f55a013576d124d20a20a6184c322d06aca7cc4	true	true	false	OK
SCNUED/data/sub05/sub05_session2.bdf	sub05/sub05_session2.bdf	3366910	3366910	293.0	69	5	Fp2,O1,O2,C3,C4	250	uV	64	40	17920	c5b784c00754fa5e21f0da6ad0891315328816b61db7c7dacad25fdb7f4c2b63	22f1eca1bb2567c686dc1ea415225059fcbb03bd90b4868c85c130543854d299	cf0bbcbaac4401220105ac201f31504c6d6d20ba1dc8cc4dcd171127ea001bd3	cf0bbcbaac4401220105ac201f31504c6d6d20ba1dc8cc4dcd171127ea001bd3	true	true	false	OK
SCNUED/data/sub06/sub06_session1.bdf	sub06/sub06_session1.bdf	3664090	3664090	319.0	69	5	Fp2,O1,O2,C3,C4	250	uV	64	40	17920	dda0911302e8748b8857ed036029dddb3446b93a7aa14d251676d3128b6b8a49	7555b87186eb296de7c20fe6523fed28052f9c849611f489f1b0d4387992ce37	6c72bb8e97b8162f49fa1d4d2bd4e618b09bd139aec25de3a7314052254b2e77	6c72bb8e97b8162f49fa1d4d2bd4e618b09bd139aec25de3a7314052254b2e77	true	true	false	OK
SCNUED/data/sub06/sub06_session2.bdf	sub06/sub06_session2.bdf	3504070	3504070	305.0	69	5	Fp2,O1,O2,C3,C4	250	uV	64	40	17920	26ad92816d4099bc978d0a054ec9016bd6d9a23f2507d9768cc4532310568c56	91155c0b5b4b0502ce31293c9537833bfdbc616c538f469ccc0a9c8fbe0e9c0d	e2c895d63abf4f83b727dbfea8deac4544252991698a179c4248bb84fa747d79	e2c895d63abf4f83b727dbfea8deac4544252991698a179c4248bb84fa747d79	true	true	false	OK
SCNUED/data/sub07/sub07_session1.bdf	sub07/sub07_session1.bdf	3572650	3572650	311.0	69	5	Fp2,O1,O2,C3,C4	250	uV	64	40	17920	6033dde0488868c56a3bbee272f3eef4b99a6e2a7166e288961f71cf8a3c9e96	cf28779d0ca41ffcaf7af4081cd930ed9a367c5e7e1a893635fd3431b3fc5d7b	01ea284e73ca5a7c25ab6b3726acf0f4521074a9c05384538ac85b32fa22a3b2	01ea284e73ca5a7c25ab6b3726acf0f4521074a9c05384538ac85b32fa22a3b2	true	true	false	OK
SCNUED/data/sub07/sub07_session2.bdf	sub07/sub07_session2.bdf	3961270	3961270	345.0	69	5	Fp2,O1,O2,C3,C4	250	uV	64	40	17920	7b8f9ea38935bcfe15c7287461254d5c48a31f8760695ca923d60fc78bd998ab	5160ecd21cba800994ed73fd372f982f37fbc6f4907d6f9de438d478468abb05	6ca3ba983a22de2c434204c5ad70857cc7f87ec74438864451f2826d9c905314	6ca3ba983a22de2c434204c5ad70857cc7f87ec74438864451f2826d9c905314	true	true	false	OK
SCNUED/data/sub08/sub08_session1.bdf	sub08/sub08_session1.bdf	1280161	1280161	339.0	6	5	Fp2,O1,O2,C3,C4	250	uV	1	7	1792	e7ae2fe613cb2100dd8679876a292579c0545e4725a07eeeb55cf5dcb0772387	9cb69ade3050c686baf53c2120c524e3589c511c2502dfb2612fadfc142db340	917b700f3cb59004c477fe5e30f0525fbdb4bd5a231ee07f80c35e042359526e	917b700f3cb59004c477fe5e30f0525fbdb4bd5a231ee07f80c35e042359526e	true	true	false	OK
SCNUED/data/sub08/sub08_session2.bdf	sub08/sub08_session2.bdf	3389770	3389770	295.0	69	5	Fp2,O1,O2,C3,C4	250	uV	64	40	17920	13c5a737598e0863f55395048c060ecd1d5bd8c1ec8af189b5b4116072a7cea6	8b112ae7c30413201997027338b2dee12b627ba51f768998be9f60a985b23959	99bc2fd2920cf126f3a306aa26abd7e9fdd5213be60b09a6d060e649daafda79	99bc2fd2920cf126f3a306aa26abd7e9fdd5213be60b09a6d060e649daafda79	true	true	false	OK
